                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.98797,                 3.3308,                 3.3295,                 1.3558,                0.00349,                      1,                0.24561,                0.18875,                0.00347,                0.99167,                0.24173,                0.18177,                0.43825,                 1.6828,                 3.5195,                 1.0263,                  0.082,                  0.002,                  0.002
                      1,                0.79674,                 1.6375,                 3.0915,                 1.2038,                0.00366,                0.98297,                0.26317,                0.18629,                0.00364,                0.97464,                0.24823,                   0.17,                0.64109,                   2.05,                 3.4245,                  1.207,                0.06308,              0.0040797,              0.0040797
                      2,                0.81397,                 1.4583,                 2.7075,                 1.1912,                0.56584,                0.13477,                0.28675,                0.21331,                0.56584,                0.13477,                0.27267,                0.19651,                0.72675,                 1.8598,                 3.1771,                 1.2846,               0.044139,              0.0061386,              0.0061386
                      3,                0.87999,                 1.4954,                 2.3872,                 1.2191,                0.14558,                0.23879,                0.27524,                0.16959,                0.11606,                0.22246,                0.24316,                0.13565,                 1.1773,                 3.4314,                 3.1881,                 1.9604,               0.025177,              0.0081767,              0.0081767
                      4,                0.98752,                 1.6781,                 2.2235,                 1.2846,                0.26286,                0.44299,                0.34987,                0.20815,                0.24912,                 0.4394,                0.31534,                0.20789,                 1.1395,                 2.3306,                 2.6425,                 1.6877,               0.009802,               0.009802,               0.009802
                      5,                0.94216,                 1.5525,                 1.9725,                 1.2391,                0.30512,                0.48085,                0.38228,                0.28138,                0.31139,                 0.4538,                0.37071,                0.25663,                0.87323,                 2.3515,                 2.4311,                 1.4342,               0.009802,               0.009802,               0.009802
                      6,                0.93235,                 1.5347,                   1.91,                 1.2326,                0.29421,                0.60144,                0.40258,                0.26798,                0.28532,                 0.5662,                0.38231,                0.23173,                 1.0378,                 2.5235,                 2.4943,                 1.5802,              0.0097525,              0.0097525,              0.0097525
                      7,                0.96028,                 1.5945,                  1.843,                 1.2512,                0.40026,                0.52818,                0.49374,                0.31527,                0.33837,                0.47211,                0.39899,                0.22563,                 1.0185,                 3.8468,                 2.3748,                 1.5855,               0.009703,               0.009703,               0.009703
                      8,                0.91836,                 1.5298,                 1.7451,                 1.2404,                0.50662,                0.54558,                0.52589,                0.34078,                 0.4023,                0.52524,                0.44784,                0.27536,                0.99727,                 3.1367,                 2.2954,                 1.5689,              0.0096535,              0.0096535,              0.0096535
                      9,                0.89282,                 1.5017,                 1.6808,                 1.2066,                0.47616,                0.45966,                0.43922,                 0.2713,                0.44444,                0.40815,                0.37119,                0.20951,                 1.0631,                 4.6411,                 2.8875,                 1.7718,               0.009604,               0.009604,               0.009604
                     10,                 0.9174,                 1.4669,                 1.6174,                 1.2112,                0.33053,                0.58761,                0.41649,                0.27055,                0.33053,                0.58761,                0.40774,                0.27285,                 1.1138,                 2.3392,                 2.6278,                 1.7619,              0.0095545,              0.0095545,              0.0095545
                     11,                0.94208,                 1.6029,                 1.6489,                 1.2351,                0.40891,                0.52796,                0.44095,                0.27182,                0.36047,                0.54516,                0.41403,                0.21785,                 1.2476,                 3.0056,                 3.2191,                 2.1603,               0.009505,               0.009505,               0.009505
                     12,                0.92003,                 1.5108,                 1.5817,                 1.2174,                0.49407,                0.44162,                0.51128,                0.32517,                 0.4874,                0.43331,                0.47224,                0.31631,                  1.046,                 2.3648,                 2.4409,                 1.7382,              0.0094555,              0.0094555,              0.0094555
                     13,                0.86268,                 1.4828,                 1.4755,                 1.1873,                0.51079,                0.46324,                0.41067,                0.27601,                0.49121,                0.45775,                0.40277,                0.27267,                  1.169,                 2.4861,                 3.6008,                 1.7971,               0.009406,               0.009406,               0.009406
                     14,                 0.9179,                 1.4915,                 1.5371,                 1.2327,                 0.4997,                0.52006,                0.49371,                0.33321,                0.48462,                 0.5013,                0.48406,                0.32956,                0.99253,                 2.4436,                 2.2708,                 1.6772,              0.0093565,              0.0093565,              0.0093565
                     15,                0.91657,                 1.4051,                 1.4526,                 1.2043,                0.34014,                0.59685,                0.47321,                0.32303,                0.32969,                0.58081,                0.46962,                0.30073,                0.95377,                  2.613,                 2.3365,                 1.5813,               0.009307,               0.009307,               0.009307
                     16,                 0.8855,                  1.473,                 1.4368,                  1.213,                0.67484,                0.68816,                0.72736,                0.53707,                0.67484,                0.68816,                 0.7188,                0.51668,                0.87467,                 2.1795,                 1.6134,                   1.46,              0.0092575,              0.0092575,              0.0092575
                     17,                0.87023,                 1.4918,                 1.4007,                 1.1984,                0.54744,                0.61511,                0.57199,                0.37896,                0.54142,                0.60849,                0.56657,                0.37879,                  1.017,                 1.9461,                 2.0268,                 1.6376,               0.009208,               0.009208,               0.009208
                     18,                0.86991,                 1.3806,                 1.3869,                 1.1791,                0.37731,                0.60992,                0.54898,                 0.3707,                0.37386,                0.59326,                0.53712,                0.36949,                 1.0065,                 1.8942,                 2.4166,                 1.5584,              0.0091585,              0.0091585,              0.0091585
                     19,                0.85207,                 1.3091,                 1.3141,                  1.177,                0.49776,                 0.6631,                0.64612,                0.45452,                0.49385,                0.65842,                0.63554,                0.42807,                0.93038,                 2.2515,                 1.9092,                 1.4866,               0.009109,               0.009109,               0.009109
