                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0975,                 3.4299,                 3.3546,                 1.4431,                 0.3333,                0.44523,                0.41594,                0.34588,                0.32647,                 0.4369,                0.40746,                0.33032,                0.61167,                 1.7599,                 2.8901,                 1.1833,                  0.082,                  0.002,                  0.002
                      1,                0.84335,                 1.6279,                  2.082,                 1.2469,                0.54838,                0.61325,                0.62377,                0.49416,                0.51833,                0.57637,                0.57362,                0.46189,                0.70782,                 1.7823,                 1.6581,                 1.2776,                0.06308,              0.0040797,              0.0040797
                      2,                0.76863,                 1.3714,                 1.5154,                 1.1746,                0.73931,                0.60726,                0.74879,                0.54434,                0.69363,                0.58371,                0.71766,                0.52525,                0.80285,                 1.8886,                 1.3832,                 1.3652,               0.044139,              0.0061386,              0.0061386
                      3,                0.76793,                 1.2833,                 1.3318,                 1.1565,                0.53014,                0.51243,                0.57345,                 0.4269,                0.50656,                 0.4961,                0.56281,                0.40798,                0.83417,                 1.9276,                 1.8033,                 1.3592,               0.025177,              0.0081767,              0.0081767
                      4,                 0.8421,                 1.3868,                 1.3559,                 1.1748,                0.43574,                0.25608,                0.21317,                0.12371,                0.45883,                0.23518,                0.17957,                0.11283,                 1.0582,                 2.7488,                 3.3258,                 1.6401,               0.009802,               0.009802,               0.009802
                      5,                0.82264,                 1.3498,                 1.1914,                 1.1699,                0.43723,                0.42123,                 0.3473,                0.21398,                 0.4669,                0.34075,                0.29656,                0.17791,                 1.1124,                 3.7536,                 2.9354,                 1.7314,               0.009802,               0.009802,               0.009802
                      6,                0.84057,                 1.3356,                 1.1544,                 1.1717,                0.72932,                0.39789,                0.42348,                0.30481,                0.72009,                 0.3902,                  0.408,                0.28113,                  1.033,                 2.2436,                 2.1808,                 1.6562,              0.0097525,              0.0097525,              0.0097525
                      7,                0.83873,                 1.3486,                 1.1192,                 1.1807,                0.66259,                0.59476,                 0.6943,                 0.4852,                0.65053,                0.59344,                0.67956,                0.46111,                 1.0183,                 2.6047,                 1.5978,                 1.7305,               0.009703,               0.009703,               0.009703
                      8,                0.84864,                 1.3366,                 1.0273,                 1.1881,                0.54125,                0.68939,                0.60479,                0.41243,                0.52191,                0.67974,                 0.5791,                0.35411,                 1.0449,                 3.6021,                 1.5335,                  1.768,              0.0096535,              0.0096535,              0.0096535
                      9,                0.80491,                 1.3249,                 1.0023,                 1.1537,                0.55143,                0.62165,                0.71277,                0.51685,                0.55143,                0.62165,                0.70415,                0.46911,                0.96783,                 2.9692,                 1.6091,                 1.5794,               0.009604,               0.009604,               0.009604
                     10,                 0.8261,                 1.2855,                0.97383,                 1.1489,                 0.6718,                0.62266,                0.72479,                0.52873,                0.67677,                0.63035,                 0.7231,                0.50895,                0.86937,                 2.0786,                 1.4139,                    1.5,              0.0095545,              0.0095545,              0.0095545
                     11,                0.83758,                   1.44,                0.99911,                 1.1751,                0.42822,                0.48057,                 0.4621,                0.32898,                0.43124,                0.48721,                 0.4473,                0.30002,                 1.0942,                 3.0067,                  3.034,                 1.7672,               0.009505,               0.009505,               0.009505
                     12,                0.80652,                 1.3192,                0.97006,                 1.1504,                0.64604,                0.54198,                0.63125,                0.42898,                0.58022,                0.48896,                0.56874,                0.36843,                 1.0542,                 3.2003,                 1.6236,                 1.6596,              0.0094555,              0.0094555,              0.0094555
                     13,                0.79094,                 1.2605,                0.90868,                 1.1488,                0.60042,                0.60814,                0.63975,                0.45598,                0.61154,                0.59835,                0.63342,                0.42488,                 0.9876,                 2.6113,                  1.409,                 1.6209,               0.009406,               0.009406,               0.009406
                     14,                0.82168,                 1.2935,                0.97134,                 1.1829,                0.65195,                 0.7401,                0.73035,                0.52867,                0.63958,                0.70566,                0.68282,                0.49352,                0.94782,                 2.3392,                 1.2446,                 1.5657,              0.0093565,              0.0093565,              0.0093565
                     15,                 0.8233,                 1.2999,                  0.952,                 1.1599,                0.67946,                0.61451,                 0.7193,                0.49056,                0.57646,                0.72743,                0.68608,                0.45049,                 1.0175,                 2.4246,                 1.4402,                   1.68,               0.009307,               0.009307,               0.009307
                     16,                0.80864,                 1.3072,                0.90713,                 1.1632,                0.72022,                0.82263,                0.85869,                0.62952,                0.74464,                0.76627,                0.84378,                0.59994,                0.88691,                 1.8316,                 1.0181,                 1.5089,              0.0092575,              0.0092575,              0.0092575
                     17,                0.79565,                 1.3298,                0.87913,                 1.1585,                0.73525,                0.68591,                0.78341,                0.57014,                0.73886,                0.68654,                0.78012,                0.55777,                0.93151,                 2.2647,                 1.2831,                 1.5132,               0.009208,               0.009208,               0.009208
                     18,                0.79192,                 1.2748,                0.87141,                 1.1426,                0.72466,                0.64298,                0.73302,                0.52497,                0.71752,                0.63871,                0.73704,                0.52054,                 1.0144,                 2.0223,                 1.1995,                 1.6435,              0.0091585,              0.0091585,              0.0091585
                     19,                0.80666,                 1.1989,                0.85067,                 1.1609,                 0.7266,                0.67232,                0.74335,                0.52779,                0.70291,                0.65598,                0.71858,                0.51081,                 1.0028,                 2.0668,                 1.2146,                  1.547,               0.009109,               0.009109,               0.009109
                     20,                0.77593,                 1.1523,                0.84097,                 1.1298,                0.56145,                0.56708,                0.58627,                0.42923,                0.49886,                0.52515,                0.53387,                0.33435,                0.99799,                 3.1072,                 1.6519,                 1.5708,              0.0090595,              0.0090595,              0.0090595
                     21,                0.80439,                 1.2643,                0.85581,                 1.1645,                 0.6426,                0.65141,                0.64478,                 0.4719,                0.63286,                0.62354,                0.62015,                0.41783,                0.92932,                 2.1638,                 1.6067,                 1.4574,                0.00901,                0.00901,                0.00901
                     22,                0.75094,                 1.1896,                0.83556,                 1.1118,                0.76312,                0.70332,                0.81799,                0.59428,                0.75331,                0.69499,                 0.7926,                0.55287,                0.89019,                 2.0314,                 1.1312,                 1.4608,              0.0089605,              0.0089605,              0.0089605
                     23,                0.79015,                 1.1313,                0.80037,                 1.1377,                0.64758,                0.67622,                0.71936,                0.52617,                0.61892,                0.68242,                0.69275,                0.50479,                0.97659,                 2.2556,                 1.3192,                 1.5553,               0.008911,               0.008911,               0.008911
                     24,                0.76504,                 1.2054,                0.81496,                 1.1197,                0.67837,                0.81162,                0.77356,                0.57254,                0.64889,                0.77932,                0.73313,                0.54222,                0.96334,                 2.4677,                 1.1424,                   1.51,              0.0088615,              0.0088615,              0.0088615
                     25,                0.78958,                 1.1219,                0.80493,                 1.1454,                0.82514,                0.69123,                0.82746,                0.61866,                0.81413,                 0.6829,                0.80415,                0.59021,                0.85351,                 1.8979,                0.94911,                 1.4637,               0.008812,               0.008812,               0.008812
                     26,                0.75972,                 1.2041,                0.81426,                 1.1229,                0.74339,                0.74694,                0.79777,                0.58742,                0.72885,                0.72806,                0.78452,                0.56124,                0.88054,                 1.9929,                  1.071,                 1.4459,              0.0087625,              0.0087625,              0.0087625
                     27,                0.79149,                  1.341,                0.85372,                 1.1547,                0.73645,                0.66929,                0.76921,                0.55832,                0.75533,                0.67799,                0.76677,                0.55043,                0.96531,                 2.1298,                 1.1615,                 1.5797,               0.008713,               0.008713,               0.008713
                     28,                0.77361,                 1.1411,                0.81612,                 1.1365,                0.72581,                0.67909,                0.79927,                0.57967,                0.71631,                0.67075,                0.77741,                0.55016,                0.92837,                 2.3197,                 1.1316,                 1.5667,              0.0086635,              0.0086635,              0.0086635
                     29,                0.74713,                 1.0775,                0.76832,                 1.1157,                 0.7216,                0.60124,                0.71696,                0.53483,                0.70465,                0.58297,                0.70071,                0.49852,                0.96958,                 2.4418,                 1.3145,                 1.6088,               0.008614,               0.008614,               0.008614
