                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0478,                 3.0447,                  3.315,                 1.4724,                0.30586,                0.64224,                0.46535,                0.37491,                0.30151,                0.62742,                 0.4549,                0.36744,                0.53011,                  1.436,                 2.8874,                 1.1073,                  0.082,                  0.002,                  0.002
                      1,                0.78716,                 1.4387,                 1.9103,                 1.2528,                0.65671,                0.79206,                0.72862,                0.62582,                0.65671,                0.79206,                0.71553,                0.60255,                 0.4896,                 1.4931,                 1.7929,                 1.0298,                0.06308,              0.0040797,              0.0040797
                      2,                0.72318,                 1.2642,                 1.3926,                 1.1715,                0.73082,                0.66268,                0.78301,                0.66337,                0.72108,                0.65435,                0.77646,                0.62763,                0.53486,                 1.5464,                 1.4476,                  1.078,               0.044139,              0.0061386,              0.0061386
                      3,                0.70804,                 1.1597,                 1.1628,                 1.1458,                0.62455,                0.71063,                0.73925,                0.58016,                0.61745,                 0.7023,                0.72789,                0.55379,                0.69468,                 1.8796,                 1.4885,                 1.2296,               0.025177,              0.0081767,              0.0081767
                      4,                0.78297,                 1.2575,                 1.1366,                 1.1582,                0.70496,                0.68501,                0.73612,                0.56971,                0.67981,                0.65242,                0.70012,                0.53624,                0.74065,                 1.8478,                 1.4373,                 1.2477,               0.009802,               0.009802,               0.009802
                      5,                0.76705,                 1.2235,                 1.0713,                 1.1474,                0.60754,                0.53984,                0.58446,                 0.4449,                0.59204,                0.53151,                0.56637,                0.39962,                0.78562,                 2.2561,                 2.1228,                 1.3552,               0.009802,               0.009802,               0.009802
                      6,                 0.7902,                 1.2712,                 1.0151,                 1.1703,                0.73776,                0.74011,                0.75904,                0.60778,                0.71778,                0.72381,                  0.732,                0.56649,                0.65487,                 1.8077,                 1.3886,                 1.2239,              0.0097525,              0.0097525,              0.0097525
                      7,                0.77533,                 1.2547,                 1.0091,                 1.1721,                0.51382,                 0.4242,                 0.3608,                0.29515,                0.51266,                0.41587,                0.35807,                 0.2546,                  0.767,                 2.8271,                  3.937,                 1.4341,               0.009703,               0.009703,               0.009703
                      8,                0.77647,                 1.2939,                0.98072,                 1.1796,                0.60103,                0.65142,                0.64263,                0.49724,                0.58188,                0.63477,                0.63031,                0.47594,                0.78113,                 2.3144,                 1.7865,                 1.3394,              0.0096535,              0.0096535,              0.0096535
                      9,                0.77672,                 1.2746,                0.94916,                 1.1655,                0.67633,                 0.7398,                0.76287,                0.57042,                0.76272,                0.63305,                0.74216,                0.53084,                0.81899,                 2.6459,                 1.3527,                 1.4578,               0.009604,               0.009604,               0.009604
                     10,                0.76446,                 1.1595,                0.95428,                 1.1545,                0.74816,                0.75831,                0.79579,                0.64945,                0.69304,                0.77299,                0.77109,                0.59743,                0.70547,                  2.252,                0.92489,                 1.3512,              0.0095545,              0.0095545,              0.0095545
